sku,title,category,brand,model,retail_price_inr,wholesale_price_inr,moq,stock,rating,image_prompt,image_alt,animation_treatment,poc_only,source_note
BE-0132,Orbis Home Theatre HOM-1132,TV & Home Theatre,Orbis,HOM-1132,9149,7500,1,14,3.8,"premium studio product photograph of a home theatre, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Home Theatre, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0133,IndusTech 4K Smart TV KSM-1133,TV & Home Theatre,IndusTech,KSM-1133,10099,8280,1,21,3.9,"premium studio product photograph of a 4k smart tv, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech 4K Smart TV, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0134,NovaTek QLED TV QLE-1134,TV & Home Theatre,NovaTek,QLE-1134,11049,9060,1,28,4.0,"premium studio product photograph of a qled tv, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek QLED TV, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0135,Orbis TWS Earbuds TWS-1135,Audio,Orbis,TWS-1135,799,660,1,35,4.1,"premium studio product photograph of a tws earbuds, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis TWS Earbuds, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0136,IndusTech Wireless Headphones WIR-1136,Audio,IndusTech,WIR-1136,1749,1430,1,42,4.2,"premium studio product photograph of a wireless headphones, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Wireless Headphones, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0137,NovaTek Bluetooth Speaker BLU-1137,Audio,NovaTek,BLU-1137,2699,2210,1,49,4.3,"premium studio product photograph of a bluetooth speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Bluetooth Speaker, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0138,Cobalt Party Speaker PAR-1138,Audio,Cobalt,PAR-1138,3649,2990,1,56,4.4,"premium studio product photograph of a party speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Party Speaker, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0139,Astra Microphone MIC-1139,Audio,Astra,MIC-1139,4599,3770,1,63,4.5,"premium studio product photograph of a microphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Microphone, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0140,Orbis TWS Earbuds TWS-1140,Audio,Orbis,TWS-1140,4549,3730,1,70,4.6,"premium studio product photograph of a tws earbuds, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis TWS Earbuds, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0141,IndusTech Wireless Headphones WIR-1141,Audio,IndusTech,WIR-1141,5499,4510,1,77,4.7,"premium studio product photograph of a wireless headphones, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Wireless Headphones, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0142,NovaTek Bluetooth Speaker BLU-1142,Audio,NovaTek,BLU-1142,6449,5290,1,84,4.8,"premium studio product photograph of a bluetooth speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Bluetooth Speaker, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0143,Cobalt Party Speaker PAR-1143,Audio,Cobalt,PAR-1143,1399,1150,1,8,4.9,"premium studio product photograph of a party speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Party Speaker, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0144,Astra Microphone MIC-1144,Audio,Astra,MIC-1144,2349,1930,1,15,3.8,"premium studio product photograph of a microphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Microphone, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0145,Orbis TWS Earbuds TWS-1145,Audio,Orbis,TWS-1145,2299,1890,1,22,3.9,"premium studio product photograph of a tws earbuds, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis TWS Earbuds, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0146,IndusTech Wireless Headphones WIR-1146,Audio,IndusTech,WIR-1146,3249,2660,1,29,4.0,"premium studio product photograph of a wireless headphones, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Wireless Headphones, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0147,NovaTek Bluetooth Speaker BLU-1147,Audio,NovaTek,BLU-1147,4199,3440,1,36,4.1,"premium studio product photograph of a bluetooth speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Bluetooth Speaker, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0148,Cobalt Party Speaker PAR-1148,Audio,Cobalt,PAR-1148,5149,4220,1,43,4.2,"premium studio product photograph of a party speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Party Speaker, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0149,Astra Microphone MIC-1149,Audio,Astra,MIC-1149,6099,5000,1,50,4.3,"premium studio product photograph of a microphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Microphone, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0150,Orbis TWS Earbuds TWS-1150,Audio,Orbis,TWS-1150,6049,4960,1,57,4.4,"premium studio product photograph of a tws earbuds, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis TWS Earbuds, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0151,IndusTech Wireless Headphones WIR-1151,Audio,IndusTech,WIR-1151,999,820,1,64,4.5,"premium studio product photograph of a wireless headphones, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Wireless Headphones, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0152,NovaTek Bluetooth Speaker BLU-1152,Audio,NovaTek,BLU-1152,1949,1600,1,71,4.6,"premium studio product photograph of a bluetooth speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Bluetooth Speaker, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0153,Cobalt Party Speaker PAR-1153,Audio,Cobalt,PAR-1153,2899,2380,1,78,4.7,"premium studio product photograph of a party speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Party Speaker, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0154,Astra Microphone MIC-1154,Audio,Astra,MIC-1154,3849,3160,1,85,4.8,"premium studio product photograph of a microphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Microphone, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0155,Orbis TWS Earbuds TWS-1155,Audio,Orbis,TWS-1155,3799,3120,1,9,4.9,"premium studio product photograph of a tws earbuds, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis TWS Earbuds, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0156,IndusTech Wireless Headphones WIR-1156,Audio,IndusTech,WIR-1156,4749,3890,1,16,3.8,"premium studio product photograph of a wireless headphones, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Wireless Headphones, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0157,NovaTek Bluetooth Speaker BLU-1157,Audio,NovaTek,BLU-1157,5699,4670,1,23,3.9,"premium studio product photograph of a bluetooth speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Bluetooth Speaker, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0158,Cobalt Party Speaker PAR-1158,Audio,Cobalt,PAR-1158,6649,5450,1,30,4.0,"premium studio product photograph of a party speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Party Speaker, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0159,Astra Microphone MIC-1159,Audio,Astra,MIC-1159,1599,1310,1,37,4.1,"premium studio product photograph of a microphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Microphone, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0160,Orbis TWS Earbuds TWS-1160,Audio,Orbis,TWS-1160,1549,1270,1,44,4.2,"premium studio product photograph of a tws earbuds, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis TWS Earbuds, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0161,IndusTech Wireless Headphones WIR-1161,Audio,IndusTech,WIR-1161,2499,2050,1,51,4.3,"premium studio product photograph of a wireless headphones, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Wireless Headphones, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0162,NovaTek Bluetooth Speaker BLU-1162,Audio,NovaTek,BLU-1162,3449,2830,1,58,4.4,"premium studio product photograph of a bluetooth speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Bluetooth Speaker, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0163,Cobalt Party Speaker PAR-1163,Audio,Cobalt,PAR-1163,4399,3610,1,65,4.5,"premium studio product photograph of a party speaker, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Party Speaker, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0164,Astra Microphone MIC-1164,Audio,Astra,MIC-1164,5349,4390,1,72,4.6,"premium studio product photograph of a microphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Microphone, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0165,Orbis TWS Earbuds TWS-1165,Audio,Orbis,TWS-1165,5299,4350,1,79,4.7,"premium studio product photograph of a tws earbuds, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis TWS Earbuds, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0166,IndusTech Wireless Headphones WIR-1166,Audio,IndusTech,WIR-1166,6249,5120,1,3,4.8,"premium studio product photograph of a wireless headphones, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Wireless Headphones, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0167,Astra Single Door Refrigerator SIN-1167,Refrigerators,Astra,SIN-1167,13399,10990,1,10,4.9,"premium studio product photograph of a single door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Single Door Refrigerator, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0168,Orbis Double Door Refrigerator DOU-1168,Refrigerators,Orbis,DOU-1168,14349,11770,1,17,3.8,"premium studio product photograph of a double door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Double Door Refrigerator, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0169,IndusTech Side-by-Side Refrigerator SID-1169,Refrigerators,IndusTech,SID-1169,15299,12550,1,24,3.9,"premium studio product photograph of a side-by-side refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Side-by-Side Refrigerator, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0170,NovaTek Single Door Refrigerator SIN-1170,Refrigerators,NovaTek,SIN-1170,15249,12500,1,31,4.0,"premium studio product photograph of a single door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Single Door Refrigerator, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0171,Cobalt Double Door Refrigerator DOU-1171,Refrigerators,Cobalt,DOU-1171,16199,13280,1,38,4.1,"premium studio product photograph of a double door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Double Door Refrigerator, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0172,Astra Side-by-Side Refrigerator SID-1172,Refrigerators,Astra,SID-1172,17149,14060,1,45,4.2,"premium studio product photograph of a side-by-side refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Side-by-Side Refrigerator, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0173,Orbis Single Door Refrigerator SIN-1173,Refrigerators,Orbis,SIN-1173,18099,14840,1,52,4.3,"premium studio product photograph of a single door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Single Door Refrigerator, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0174,IndusTech Double Door Refrigerator DOU-1174,Refrigerators,IndusTech,DOU-1174,19049,15620,1,59,4.4,"premium studio product photograph of a double door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Double Door Refrigerator, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0175,NovaTek Side-by-Side Refrigerator SID-1175,Refrigerators,NovaTek,SID-1175,12999,10660,1,66,4.5,"premium studio product photograph of a side-by-side refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Side-by-Side Refrigerator, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0176,Cobalt Single Door Refrigerator SIN-1176,Refrigerators,Cobalt,SIN-1176,13949,11440,1,73,4.6,"premium studio product photograph of a single door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Single Door Refrigerator, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0177,Astra Double Door Refrigerator DOU-1177,Refrigerators,Astra,DOU-1177,14899,12220,1,80,4.7,"premium studio product photograph of a double door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Double Door Refrigerator, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0178,Orbis Side-by-Side Refrigerator SID-1178,Refrigerators,Orbis,SID-1178,15849,13000,1,4,4.8,"premium studio product photograph of a side-by-side refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Side-by-Side Refrigerator, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0179,IndusTech Single Door Refrigerator SIN-1179,Refrigerators,IndusTech,SIN-1179,16799,13780,1,11,4.9,"premium studio product photograph of a single door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Single Door Refrigerator, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0180,NovaTek Double Door Refrigerator DOU-1180,Refrigerators,NovaTek,DOU-1180,16749,13730,1,18,3.8,"premium studio product photograph of a double door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Double Door Refrigerator, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0181,Cobalt Side-by-Side Refrigerator SID-1181,Refrigerators,Cobalt,SID-1181,17699,14510,1,25,3.9,"premium studio product photograph of a side-by-side refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Side-by-Side Refrigerator, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0182,Astra Single Door Refrigerator SIN-1182,Refrigerators,Astra,SIN-1182,18649,15290,1,32,4.0,"premium studio product photograph of a single door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Single Door Refrigerator, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0183,Orbis Double Door Refrigerator DOU-1183,Refrigerators,Orbis,DOU-1183,13599,11150,1,39,4.1,"premium studio product photograph of a double door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Double Door Refrigerator, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0184,IndusTech Side-by-Side Refrigerator SID-1184,Refrigerators,IndusTech,SID-1184,14549,11930,1,46,4.2,"premium studio product photograph of a side-by-side refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Side-by-Side Refrigerator, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0185,NovaTek Single Door Refrigerator SIN-1185,Refrigerators,NovaTek,SIN-1185,14499,11890,1,53,4.3,"premium studio product photograph of a single door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Single Door Refrigerator, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0186,Cobalt Double Door Refrigerator DOU-1186,Refrigerators,Cobalt,DOU-1186,15449,12670,1,60,4.4,"premium studio product photograph of a double door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Double Door Refrigerator, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0187,Astra Side-by-Side Refrigerator SID-1187,Refrigerators,Astra,SID-1187,16399,13450,1,67,4.5,"premium studio product photograph of a side-by-side refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Side-by-Side Refrigerator, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0188,Orbis Single Door Refrigerator SIN-1188,Refrigerators,Orbis,SIN-1188,17349,14230,1,74,4.6,"premium studio product photograph of a single door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Single Door Refrigerator, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0189,IndusTech Double Door Refrigerator DOU-1189,Refrigerators,IndusTech,DOU-1189,18299,15010,1,81,4.7,"premium studio product photograph of a double door refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Double Door Refrigerator, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0190,NovaTek Side-by-Side Refrigerator SID-1190,Refrigerators,NovaTek,SID-1190,18249,14960,1,5,4.8,"premium studio product photograph of a side-by-side refrigerator, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Side-by-Side Refrigerator, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0191,NovaTek Top Load Washer TOP-1191,Washing Machines,NovaTek,TOP-1191,9199,7540,1,12,4.9,"premium studio product photograph of a top load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Top Load Washer, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0192,Cobalt Front Load Washer FRO-1192,Washing Machines,Cobalt,FRO-1192,10149,8320,1,19,3.8,"premium studio product photograph of a front load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Front Load Washer, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0193,Astra Semi Automatic Washer SEM-1193,Washing Machines,Astra,SEM-1193,11099,9100,1,26,3.9,"premium studio product photograph of a semi automatic washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Semi Automatic Washer, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0194,Orbis Top Load Washer TOP-1194,Washing Machines,Orbis,TOP-1194,12049,9880,1,33,4.0,"premium studio product photograph of a top load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Top Load Washer, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0195,IndusTech Front Load Washer FRO-1195,Washing Machines,IndusTech,FRO-1195,11999,9840,1,40,4.1,"premium studio product photograph of a front load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Front Load Washer, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0196,NovaTek Semi Automatic Washer SEM-1196,Washing Machines,NovaTek,SEM-1196,12949,10620,1,47,4.2,"premium studio product photograph of a semi automatic washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Semi Automatic Washer, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0197,Cobalt Top Load Washer TOP-1197,Washing Machines,Cobalt,TOP-1197,13899,11400,1,54,4.3,"premium studio product photograph of a top load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Top Load Washer, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0198,Astra Front Load Washer FRO-1198,Washing Machines,Astra,FRO-1198,14849,12180,1,61,4.4,"premium studio product photograph of a front load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Front Load Washer, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0199,Orbis Semi Automatic Washer SEM-1199,Washing Machines,Orbis,SEM-1199,9799,8040,1,68,4.5,"premium studio product photograph of a semi automatic washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Semi Automatic Washer, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0200,IndusTech Top Load Washer TOP-1200,Washing Machines,IndusTech,TOP-1200,9749,7990,1,75,4.6,"premium studio product photograph of a top load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Top Load Washer, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0201,NovaTek Front Load Washer FRO-1201,Washing Machines,NovaTek,FRO-1201,10699,8770,1,82,4.7,"premium studio product photograph of a front load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Front Load Washer, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0202,Cobalt Semi Automatic Washer SEM-1202,Washing Machines,Cobalt,SEM-1202,11649,9550,1,6,4.8,"premium studio product photograph of a semi automatic washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Semi Automatic Washer, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0203,Astra Top Load Washer TOP-1203,Washing Machines,Astra,TOP-1203,12599,10330,1,13,4.9,"premium studio product photograph of a top load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Top Load Washer, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0204,Orbis Front Load Washer FRO-1204,Washing Machines,Orbis,FRO-1204,13549,11110,1,20,3.8,"premium studio product photograph of a front load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Front Load Washer, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0205,IndusTech Semi Automatic Washer SEM-1205,Washing Machines,IndusTech,SEM-1205,13499,11070,1,27,3.9,"premium studio product photograph of a semi automatic washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Semi Automatic Washer, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0206,NovaTek Top Load Washer TOP-1206,Washing Machines,NovaTek,TOP-1206,14449,11850,1,34,4.0,"premium studio product photograph of a top load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Top Load Washer, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0207,Cobalt Front Load Washer FRO-1207,Washing Machines,Cobalt,FRO-1207,9399,7710,1,41,4.1,"premium studio product photograph of a front load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Front Load Washer, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0208,Astra Semi Automatic Washer SEM-1208,Washing Machines,Astra,SEM-1208,10349,8490,1,48,4.2,"premium studio product photograph of a semi automatic washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Semi Automatic Washer, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0209,Orbis Top Load Washer TOP-1209,Washing Machines,Orbis,TOP-1209,11299,9270,1,55,4.3,"premium studio product photograph of a top load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Top Load Washer, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0210,IndusTech Front Load Washer FRO-1210,Washing Machines,IndusTech,FRO-1210,11249,9220,1,62,4.4,"premium studio product photograph of a front load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Front Load Washer, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0211,NovaTek Semi Automatic Washer SEM-1211,Washing Machines,NovaTek,SEM-1211,12199,10000,1,69,4.5,"premium studio product photograph of a semi automatic washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Semi Automatic Washer, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0212,Cobalt Top Load Washer TOP-1212,Washing Machines,Cobalt,TOP-1212,13149,10780,1,76,4.6,"premium studio product photograph of a top load washer, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Top Load Washer, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
